200321,180718,,clo,svr:0 conn:1 do-not-save
200321,180722,,clo,svr:0 conn:1 do-not-save
200321,180722,,clo,svr:0 conn:2 do-not-save
200321,180723,,clo,svr:0 conn:1 do-not-save
200321,180723,,clo,svr:0 conn:1 do-not-save
200321,180725,,clo,svr:0 conn:1 do-not-save
200321,180726,,clo,svr:0 conn:1 do-not-save
200321,180728,,clo,svr:0 conn:1 do-not-save
200321,180729,,clo,svr:0 conn:1 do-not-save
200321,180731,,clo,svr:0 conn:1 do-not-save
200321,180740,,clo,svr:0 conn:1 do-not-save
200321,180745,,clo,svr:0 conn:1 do-not-save
200321,180746,,clo,svr:0 conn:1 do-not-save
200321,180747,,clo,svr:0 conn:1 do-not-save
200321,180747,,clo,svr:0 conn:1 do-not-save
200321,180749,,clo,svr:0 conn:1 do-not-save
200321,180751,,clo,svr:0 conn:1 do-not-save
200321,180752,,clo,svr:0 conn:1 do-not-save
200321,180754,,clo,svr:0 conn:1 do-not-save
200321,180755,,clo,svr:0 conn:1 do-not-save
200321,180756,,clo,svr:0 conn:1 do-not-save
200321,180757,,clo,svr:0 conn:1 do-not-save
200321,180758,,clo,svr:0 conn:1 do-not-save
200321,180800,,clo,svr:0 conn:1 do-not-save
200321,180803,,clo,svr:0 conn:1 do-not-save
200321,180804,,clo,svr:0 conn:1 do-not-save
200321,180804,,clo,svr:0 conn:1 do-not-save
200321,180806,,clo,svr:0 conn:1 do-not-save
200321,180809,,clo,svr:0 conn:1 do-not-save
200321,180810,,clo,svr:0 conn:1 do-not-save
200321,180810,,clo,svr:0 conn:1 do-not-save
200321,180812,,clo,svr:0 conn:1 do-not-save
200321,180814,,clo,svr:0 conn:1 do-not-save
200321,180816,,clo,svr:0 conn:1 do-not-save
200321,180820,,clo,svr:0 conn:1 do-not-save
200321,180821,,clo,svr:0 conn:1 do-not-save
200321,180822,,clo,svr:0 conn:1 do-not-save
200321,180827,,clo,svr:0 conn:1 do-not-save
200321,180827,,clo,svr:0 conn:2 do-not-save
200321,180829,,clo,svr:0 conn:1 do-not-save
200321,180831,,clo,svr:0 conn:1 do-not-save
200321,180832,,clo,svr:0 conn:1 do-not-save
200321,180834,,clo,svr:0 conn:1 do-not-save
200321,180835,,clo,svr:0 conn:1 do-not-save
200321,180837,,clo,svr:0 conn:1 do-not-save
200321,180841,,clo,svr:0 conn:1 do-not-save
200321,180849,,clo,svr:0 conn:1 do-not-save
200321,180854,,clo,svr:0 conn:1 do-not-save
200321,180855,,clo,svr:0 conn:1 do-not-save
200321,180908,,clo,svr:0 conn:1 do-not-save
200321,180910,,clo,svr:0 conn:1 do-not-save
200321,180913,,clo,svr:0 conn:1 do-not-save
200321,180914,,clo,svr:0 conn:1 do-not-save
200321,180921,,clo,svr:0 conn:1 do-not-save
200321,180923,,clo,svr:0 conn:1 do-not-save
200321,180923,,clo,svr:0 conn:1 do-not-save
200321,180926,,clo,svr:0 conn:1 do-not-save
200321,180928,,clo,svr:0 conn:1 do-not-save
200321,180936,,clo,svr:0 conn:1 do-not-save
200321,180938,,clo,svr:0 conn:1 do-not-save
200321,180945,,clo,svr:0 conn:1 do-not-save
200321,180947,,clo,svr:0 conn:1 do-not-save
200321,180947,,clo,svr:0 conn:1 do-not-save
200321,180949,,clo,svr:0 conn:1 do-not-save
200321,180952,,clo,svr:0 conn:2 do-not-save
200321,180953,,clo,svr:0 conn:1 do-not-save
200321,180956,,clo,svr:0 conn:1 do-not-save
200321,180957,,clo,svr:0 conn:1 do-not-save
200321,181002,,clo,svr:0 conn:1 do-not-save
200321,181004,,clo,svr:0 conn:1 do-not-save
200321,181005,,clo,svr:0 conn:1 do-not-save
200321,181007,,clo,svr:0 conn:1 do-not-save
200321,181008,,clo,svr:0 conn:1 do-not-save
200321,181009,,clo,svr:0 conn:1 do-not-save
200321,181011,,clo,svr:0 conn:1 do-not-save
